timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,PRICE_STEP,LAZY_UPDATE,BREAKWATER_TRACK_CREDIT,LOAD_SHEDDING,LATENCY_THRESHOLD,DAGOR_UMAX,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,RATE_LIMITING,DAGOR_ALPHA,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATER_B,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATER_SLO,BREAKWATERD_A,CHARON_TRACK_PRICE,BREAKWATER_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,DAGOR_QUEUING_THRESHOLD,DAGOR_BETA,BREAKWATERD_INITIAL_CREDIT,BREAKWATER_RTT,INTERCEPT,PRICE_UPDATE_RATE,BREAKWATER_LOAD_SHEDDING
0610_0522,motivate-set,charon,12000,3924.35915780411,3924.35915780411,41.29821425,33.643362249999996,24.752119999999998,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-12000-0610_0522.json,138,true,false,true,193us,20,10ms,0.02,0.001,1000us,14856us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,5697us,true
0610_0148,motivate-set,dagor,26000,6350.0935992657605,6170.577080915858,211.64246221999895,95.93187089999994,34.872303,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-26000-0610_0148.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,1.936523151438795,step,10ms,0.02,16214us,12500us,0.001,false,400,true,69539us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_1422,motivate-set,dagor,30000,14132.288202076,9196.462146409145,936.69799979,729.1986724000002,82.46537000000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-30000-0610_1422.json,0,false,false,true,100us,5,10ms,0.02,0.001,1000us,10ms,12500us,true,1.6572011277819443,step,10ms,0.02,1000us,12500us,0.001,false,400,true,1000us,1.9130313407473518,400,1000us,dagor,10ms,true
0610_1459,motivate-set,charon,30000,7955.484344551535,7432.202790066888,273.15404712000003,165.82444289999987,29.535086,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0610_1459.json,41,true,false,true,176us,20,10ms,0.02,0.001,1000us,71178us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,21571us,true
0610_2329,motivate-get,dagor,28000,2448.5684383713087,1006.4890318455251,3418.726845279993,765.02556395,62.070848,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-28000-0610_2329.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,9.682615757193975,step,10ms,0.02,16214us,12500us,0.001,false,400,true,138772us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_2000,motivate-set,breakwaterd,30000,6659.779749149551,4153.609382270604,932.32912079,571.6361952500009,90.09145649999999,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwaterd-parallel-capacity-30000-0610_2000.json,0,false,false,true,100us,20,4665us,1.0586457982971709,25.207288874023742,7468us,10ms,58031us,true,0.05,step,55235us,4.801880451158127,10ms,22585us,8.065554750541684,false,949,true,2ms,0.01,3726,12881us,breakwaterd,10ms,true
0610_0343,motivate-get,dagor,12000,5511.804410221975,5511.087420872544,20.51287918999998,13.447240599999999,5.613795,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-12000-0610_0343.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,1.936523151438795,step,10ms,0.02,16214us,12500us,0.001,false,400,true,69539us,0.9402725344777285,400,1000us,dagor,10ms,true
0611_0025,motivate-get,dagor,28000,6383.163397963869,2859.146159631889,1745.7204128000012,770.7323383999998,47.153275,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-28000-0611_0025.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,9.682615757193975,step,10ms,0.02,16214us,12500us,0.001,false,400,true,138772us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_0334,motivate-set,breakwater,20000,7409.240678248501,7408.733938765398,79.3731953800002,60.31065399999997,31.70499,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-20000-0610_0334.json,0,false,false,true,100us,20,484us,0.02,0.869458465975631,1000us,10ms,12500us,true,0.05,step,10ms,0.5056524813385149,10ms,5724us,0.001,false,255,true,2ms,0.01,400,8986us,breakwater,10ms,true
0610_2013,motivate-get,charon,28000,7618.639621349072,4913.438289453645,975.4902778500001,731.8321916500001,27.727891,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-28000-0610_2013.json,334,true,false,true,6896us,20,10ms,0.02,0.001,1000us,70011us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,646us,true
