timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,LAZY_UPDATE,RATE_LIMITING,BREAKWATER_TRACK_CREDIT,DAGOR_QUEUING_THRESHOLD,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_LOAD_SHEDDING,BREAKWATER_RTT,PRICE_STRATEGY,PRICE_STEP,BREAKWATER_A,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,CHARON_TRACK_PRICE,LOAD_SHEDDING,INTERCEPT,PRICE_UPDATE_RATE,TOKEN_UPDATE_RATE,BREAKWATER_INITIAL_CREDIT,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_A,BREAKWATER_SLO,BREAKWATERD_B,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_SLO,DAGOR_BETA,DAGOR_ALPHA,BREAKWATER_B,DAGOR_UMAX
0607_2153,motivate-set,breakwaterd,30000,6979.4968683694315,4684.443195242374,1037.88581963,684.4025279999998,94.1896225,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwaterd-parallel-capacity-30000-0607_2153.json,false,true,false,2ms,true,true,18100us,step,0,8.52203709658313,45230us,16898us,1415,false,true,breakwaterd,10ms,10ms,270,10ms,9.892631925098605,23536us,7.16324267765976,100us,4947us,11335us,0.01,0.05,9.873027806416664,20
0607_2237,motivate-set,dagor,10000,3068.0695218144083,3068.0695218144083,34.81405656,28.12551925,24.0994215,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-10000-0607_2237.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0610_0522,motivate-set,charon,12000,3924.35915780411,3924.35915780411,41.29821425,33.643362249999996,24.752119999999998,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-12000-0610_0522.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_1601,motivate-set,breakwater,12000,4400.314014547387,4400.314014547387,38.81457457000002,32.223528599999995,24.392471,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-12000-0607_1601.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0608_0431,motivate-get,dagor,14000,3765.755694310375,3765.5510948322676,16.283462600000007,10.271898499999999,5.187082,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-14000-0608_0431.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0610_0148,motivate-set,dagor,26000,6350.0935992657605,6170.577080915858,211.64246221999895,95.93187089999994,34.872303,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-26000-0610_0148.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0610_0053,S_102000854,breakwaterd,12000,5408.583533870173,3071.7501311659726,699.5323398399998,554.3960963999999,199.285613,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-12000-0610_0053.json,false,true,false,2ms,true,true,2935us,step,0,12.51066014107722,45709us,8964us,2694,false,true,breakwaterd,10ms,10ms,303,10ms,1.862602113776709,5524us,3.4556072704304777,100us,1us,57965us,0.01,0.05,7.203244934421581,20
0608_0159,motivate-get,charon,14000,6886.55513628497,6886.248535726834,18.19564303999994,12.222711799999995,5.496545,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-14000-0608_0159.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_2140,motivate-set,dagor,14000,3547.246790525742,3547.246790525742,39.2597432,32.97315350000001,24.810007,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-14000-0607_2140.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0608_0233,motivate-get,dagor,24000,10921.36329779541,10424.83068401641,57.54979688,38.87780639999998,10.514908,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-24000-0608_0233.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0608_0102,motivate-set,charon,22000,4736.923297111729,4736.923297111729,43.40927934999999,34.98762725,25.1509625,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-22000-0608_0102.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_0246,motivate-get,charon,26000,8260.796297093993,8221.301798033113,33.39338779999999,20.693669399999997,6.88428,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-26000-0607_0246.json,true,true,false,2ms,true,true,1000us,linear,150,0.001,10ms,1000us,400,false,true,charon,21392us,23465us,400,10ms,0.001,12500us,0.02,367us,10ms,12500us,0.01,0.05,0.02,20
0610_0013,S_161142529,breakwaterd,12000,6378.395724946521,5248.701847903593,499.97573538,430.1420692999999,267.338949,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwaterd-parallel-capacity-12000-0610_0013.json,false,true,false,2ms,true,true,0us,step,0,29.999999999999883,64088us,3261us,1,false,true,breakwaterd,10ms,10ms,1000,10ms,2.920764933559923,18721us,7.5945937166928195,100us,1us,46326us,0.01,0.05,7.5945937166928195,20
0609_2058,S_161142529,breakwater,12000,7765.619630059401,7052.828809396274,574.9328801500001,458.3599185999998,179.1908825,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-12000-0609_2058.json,false,true,false,2ms,true,true,1846us,step,0,0.8633260157590462,10ms,1000us,400,false,true,breakwater,10ms,10ms,1018,10ms,0.001,1135us,0.02,100us,19us,12500us,0.01,0.05,0.390085716354833,20
0607_1531,motivate-set,breakwater,10000,3995.7079983774784,3995.7079983774784,35.421376910000006,29.400317999999988,24.0471465,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-10000-0607_1531.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0610_0343,motivate-get,dagor,12000,5511.804410221975,5511.087420872544,20.51287918999998,13.447240599999999,5.613795,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-12000-0610_0343.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0609_2005,S_149998854,charon,10000,2549.4480691411063,2549.4480691411063,488.08266244,396.0241191999997,121.572089,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-10000-0609_2005.json,true,true,false,2ms,true,true,1000us,linear,45,0.001,10ms,1000us,400,false,true,charon,11047us,85934us,400,10ms,0.001,12500us,0.02,9438us,10ms,12500us,0.01,0.05,0.02,20
0607_1521,motivate-get,breakwater,16000,9037.663637765323,9006.949402802655,30.31188347999998,18.39514,6.526556,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-16000-0607_1521.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0607_2358,motivate-set,breakwater,30000,7707.922049101375,6889.378158487598,811.3396679999996,303.09203880000035,49.679637,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-30000-0607_2358.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0607_1351,motivate-set,breakwater,14000,13797.334686854392,13797.334686854392,45.215045720000006,37.44429879999999,26.174552,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-14000-0607_1351.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0608_0328,motivate-get,charon,24000,7148.267997476637,7141.627569015761,26.631551300000012,17.7270555,6.379619,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-24000-0608_0328.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_0245,motivate-get,breakwater,22000,12364.70118027064,12161.192179381562,45.30231908999993,29.42491955,9.4418635,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-22000-0607_0245.json,false,true,false,2ms,true,true,30000us,step,0,0,10ms,1000us,400,false,true,breakwater,10ms,10ms,1,10ms,0.001,20000us,0.02,100us,1000us,12500us,0.01,0.05,1.5877270910493868,20
0608_0639,motivate-get,dagor,20000,12005.738235807117,11854.53374695822,41.77449914000002,27.72532644999999,8.397331,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-20000-0608_0639.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0610_0334,motivate-set,breakwater,20000,7409.240678248501,7408.733938765398,79.3731953800002,60.31065399999997,31.70499,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-20000-0610_0334.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
