timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,BREAKWATER_A,DAGOR_ALPHA,PRICE_UPDATE_RATE,BREAKWATER_SLO,INTERCEPT,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_A,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,LATENCY_THRESHOLD,PRICE_STEP,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_B,DAGOR_UMAX,BREAKWATER_INITIAL_CREDIT,BREAKWATER_CLIENT_EXPIRATION,RATE_LIMITING,LOAD_SHEDDING,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_RTT,LAZY_UPDATE,BREAKWATER_B,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE
0530_0604,S_149998854,charon,9000,3459.0739518898645,3458.9707944894144,498.02835966000015,242.04695784999993,147.82944350000002,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-9000-0530_0604.json,12500us,2ms,0.001,0.05,23718us,12500us,charon,true,0.001,1000us,400,true,39441us,109,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,37560us
0530_1037,S_102000854,breakwaterd,12000,463.8735068307208,190.5631497744833,358.62934834,333.29244035,231.53538550000002,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-12000-0530_1037.json,18893us,2ms,30.0,0.05,10ms,28939us,breakwaterd,true,10.0,8560us,1,true,100us,0,10ms,10.0,20,1,5000us,true,true,0.01,false,20000us,false,10.0,step,58850us,10ms
0529_2338,S_102000854,breakwaterd,8000,130.5343077565233,130.5343077565233,120.22974816999998,91.3458925,87.483487,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-8000-0529_2338.json,26591us,2ms,8.097836752950782,0.05,10ms,34867us,breakwaterd,true,1.1474597295337519,8754us,2892,true,100us,0,10ms,9.494892587070712,20,385,2141us,true,true,0.01,false,13268us,false,8.958862181960669,step,50492us,10ms
0529_0642,S_149998854,breakwaterd,10000,147.88130758706075,147.88130758706075,378.50495043999996,343.2803132,254.79117300000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwaterd-parallel-capacity-10000-0529_0642.json,12125us,2ms,18.587044662048754,0.05,10ms,48106us,breakwaterd,true,3.945816383842095,15629us,3937,true,100us,0,10ms,5.771565381696471,20,56,1400us,true,true,0.01,false,1250us,false,8.490006011992545,step,84173us,10ms
0529_2223,S_149998854,charon,1000,996.1906897532328,996.1906897532328,116.69950382,114.8473749,112.91300799999999,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-1000-0529_2223.json,12500us,2ms,0.001,0.05,8264us,12500us,charon,true,0.001,1000us,400,true,5955us,22,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,17932us
0530_2343,S_149998854,breakwater,12000,4849.533711737684,4849.533711737684,389.85650217,334.7988045,203.09597200000002,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwater-parallel-capacity-12000-0530_2343.json,12500us,2ms,14.617008832015069,0.05,10ms,1402us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1500,370us,true,true,0.01,false,4031us,false,0.1941868070428605,step,10ms,10ms
0529_2225,S_149998854,charon,2000,1992.0450902630525,1992.0450902630525,120.67599422999999,117.271068,112.7481175,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-2000-0529_2225.json,12500us,2ms,0.001,0.05,8264us,12500us,charon,true,0.001,1000us,400,true,5955us,22,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,17932us
0531_0053,S_102000854,breakwater,16000,8529.481121954588,510.6592715411775,939.9112145999998,741.575111,492.943399,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-16000-0531_0053.json,12500us,2ms,3.725204227553418,0.05,10ms,6883us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1078,1983us,true,true,0.01,false,8383us,false,1.7278036352152388,step,10ms,10ms
0528_2325,S_161142529,breakwaterd,10000,377.1069414144465,376.7991827571442,321.9605455,290.15710724999997,224.34204799999998,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwaterd-parallel-capacity-10000-0528_2325.json,19623us,2ms,3.070032864834775,0.05,10ms,31435us,breakwaterd,true,6.637946452197888,18164us,2933,true,100us,0,10ms,5.148891120583086,20,166,3472us,true,true,0.01,false,999us,false,4.140559878195683,step,95013us,10ms
0529_1705,S_161142529,dagor,10000,689.6474462642847,90.24000861699581,986.67978213,948.38228135,611.753244,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-dagor-parallel-capacity-10000-0529_1705.json,12500us,45450us,0.001,0.533677952225629,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,3676us,0.02,15,400,10ms,true,true,2.5519533304523323,false,1000us,false,0.02,step,10ms,10ms
0529_1908,S_149998854,dagor,4000,3484.3910073270526,3484.3910073270526,160.13674648,149.21950499999997,129.138841,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-dagor-parallel-capacity-4000-0529_1908.json,12500us,6193us,0.001,1.189880849637384,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,3806us,0.02,9,400,10ms,true,true,2.0144790634632894,false,1000us,false,0.02,step,10ms,10ms
0529_0407,S_102000854,charon,10000,6532.8114086785545,6249.699321628563,275.70962577999995,203.07059139999973,71.894941,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-10000-0529_0407.json,12500us,2ms,0.001,0.05,19144us,12500us,charon,true,0.001,1000us,400,true,7455us,81,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,14010us
0529_2345,S_102000854,breakwaterd,11000,5836.485288493823,5118.002222068268,372.85663224999996,275.89512565,132.523985,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-11000-0529_2345.json,26591us,2ms,8.097836752950782,0.05,10ms,34867us,breakwaterd,true,1.1474597295337519,8754us,2892,true,100us,0,10ms,9.494892587070712,20,385,2141us,true,true,0.01,false,13268us,false,8.958862181960669,step,50492us,10ms
0530_1611,S_161142529,breakwaterd,15000,5986.127636704091,5478.634572681228,552.6629677999998,399.878114,241.931511,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwaterd-parallel-capacity-15000-0530_1611.json,32086us,2ms,26.29167456888115,0.05,10ms,45125us,breakwaterd,true,0.983468338330501,14145us,2666,true,100us,0,10ms,4.211076250050522,20,16,426us,true,true,0.01,false,3396us,false,8.946066635038473,step,96210us,10ms
