interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
S_102000854,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,26.040867251256383,True,400,100us,1000us,20,0.001,True,step,1000us,1,0.0,0.05,breakwater,10ms,0.01,False,1420us,2654us,974.6839783261695,974.6839783261695,45.6135928739394,43.98722060151515,41.78321348484849,19.381572363455025,19.381572363455025,0.22725837989894654,0.10055962719552422,0.032759583948703146,33
S_102000854,breakwaterd,1000,9.494892587070712,True,26591us,2ms,10ms,False,10ms,10ms,True,0,8.097836752950782,True,2892,100us,2141us,20,1.147459729533752,True,step,8754us,385,8.958862181960669,0.05,breakwaterd,50492us,0.01,False,34867us,13268us,848.7731307620887,848.7731307620887,49.90352484878788,46.9296362439394,44.166592712121215,230.103811062783,230.103811062783,13.128642078904626,12.03451362740912,11.375867582613962,33
S_102000854,charon,1000,0.02,True,12500us,2ms,28538us,True,10ms,28374us,True,113,0.001,True,400,9869us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,charon,10ms,0.01,False,12500us,1000us,997.807702904624,997.807702904624,45.59252330666667,43.94151660606061,41.69549628787879,2.595227775923405,2.595227775923405,0.29447100851597574,0.12947354805369418,0.040553922022719104,33
S_102000854,dagor,1000,0.02,True,12500us,1582us,10ms,False,5443us,10ms,True,0,0.001,True,400,100us,10ms,16,0.001,True,step,1000us,400,0.02,0.274757894880173,dagor,10ms,2.6518845382867213,False,12500us,1000us,992.7800499320463,992.7800499320463,47.920068660909095,45.020439972727274,41.82564707575757,2.589249412725483,2.589249412725483,0.26843772449801745,0.16332040551216814,0.036378970316720084,33
S_149998854,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,986.4938655662511,986.4938655662511,116.85411303281249,114.9998745515625,112.9998655625,20.724988625981982,20.724988625981982,0.3458840788476036,0.13290940323748912,0.054115726486411816,32
S_149998854,breakwaterd,1000,3.218417810818756,True,49838us,2ms,10ms,False,10ms,10ms,True,0,22.7005236421519,True,1631,100us,4754us,20,1.5280118517932095,True,step,3846us,906,0.1216367038166499,0.05,breakwaterd,36422us,0.01,False,2600us,10274us,770.0003214298953,770.0003214298953,118.48119228366666,116.36835018666667,113.81851448333333,206.28725581741028,206.28725581741028,0.8239934357044989,0.7753869566954483,0.7787036871399954,31
S_149998854,charon,1000,0.02,True,12500us,2ms,2216us,True,10ms,43793us,True,57,0.001,True,400,7192us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,charon,10ms,0.01,False,12500us,1000us,993.4978848588381,993.4978848588381,117.05724207515152,115.06264080151516,112.98117965151515,4.75926939910986,4.75926939910986,0.3116673105006467,0.09405824687765559,0.04406801551415217,33
S_149998854,dagor,1000,0.02,True,12500us,6193us,10ms,False,3806us,10ms,True,0,0.001,True,400,100us,10ms,9,0.001,True,step,1000us,400,0.02,1.189880849637384,dagor,10ms,2.0144790634632894,False,12500us,1000us,1002.5271761162702,1002.5271761162702,117.80249627741935,115.5248599048387,113.15496829032257,5.096065861199238,5.096065861199238,0.43661115853588967,0.16123290068397791,0.053618906249867135,31
S_149998854,dagor,4000,0.02,True,12500us,6193us,10ms,False,3806us,10ms,True,0,0.001,True,400,100us,10ms,9,0.001,True,step,1000us,400,0.02,1.189880849637384,dagor,10ms,2.0144790634632894,False,12500us,1000us,3467.4284957044943,3467.4284957044943,158.51575960000002,148.07071459999997,128.743077,0.0,0.0,0.0,0.0,0.0,1
S_149998854,dagor,5000,0.02,True,12500us,6193us,10ms,False,3806us,10ms,True,0,0.001,True,400,100us,10ms,9,0.001,True,step,1000us,400,0.02,1.189880849637384,dagor,10ms,2.0144790634632894,False,12500us,1000us,3630.981180243301,3630.981180243301,197.91905787000007,181.1669978,148.81517300000002,0.0,0.0,0.0,0.0,0.0,1
