interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
motivate-get,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,8537.854437644964,8532.495581151737,22.504253237499984,14.569555374999997,5.642763875,387.9765546527655,395.7233989992838,2.923691187875118,1.4714247456766507,0.15154045292609816,5
motivate-get,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,4471.075608152292,4470.748808379276,20.867986281999993,14.546693429999994,5.6066709,2678.889620751411,2678.5787055527944,1.415788815322745,0.8389874693535293,0.08777259595363479,5
motivate-get,breakwater,12000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,10232.86281738962,10209.005662376474,28.498433242000026,18.654412219999998,6.4890624,298.0524689568089,315.725764795759,3.8407645067527296,2.287436940397993,0.35249932105841025,5
motivate-get,breakwater,12000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,8619.44748754452,8577.048739385984,31.03330521799996,21.990492679999996,6.9042592,2036.4794792915582,2019.7773310359482,6.603494334985428,5.192936507643292,0.8548972069974619,5
motivate-get,breakwater,14000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,10334.249129925694,10132.94292350231,42.93906753200002,28.111866349999993,9.4843338,1890.8038239391622,1910.8273880231604,12.093812463783514,8.418860858149026,2.5990658581536867,5
motivate-get,breakwater,14000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,6354.54107558965,6287.732575558703,40.38755780399997,28.542301369999997,9.6120395,3744.9790999121383,3717.6875592528118,3.7701467096038335,3.320412930110376,2.2612614097852988,5
motivate-get,breakwater,16000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,9558.394134814089,8743.629923982315,86.57460201199996,46.14056816999998,15.5653019,3692.1880032113363,3457.6434647138135,24.355428573292254,10.818598667994758,4.568729056484795,5
motivate-get,breakwater,16000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,6869.936658696121,6664.5536791642835,53.06973819333336,34.57655109999998,10.774572833333332,5767.039509472214,5605.285333383683,2.886485041068007,1.2993982634270447,0.13351514654046626,5
motivate-get,breakwater,18000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,12979.510622235422,9611.735469406958,187.96824109000002,86.20669729999992,25.0602075,190.2759309731996,2330.4134160848976,65.64359232999982,32.86395710000006,10.2576385,5
motivate-get,breakwater,18000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,4945.425521033378,3246.664203975472,291.93860594,165.99341867499996,30.776556875,3338.353805618444,2309.899661092534,225.41717323560695,107.6945023409037,6.007665652829784,5
motivate-get,breakwater,20000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,9874.792830994927,4237.286393983656,568.1064163159999,285.6981337799999,46.8396277,969.6137750320524,565.2531477668709,172.12793787987962,144.4954243848482,5.574704420767524,5
motivate-get,breakwater,20000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,4151.885169836156,2481.6173063236056,1112.800425855,737.4745759249994,234.10930499999998,4298.952407057339,2594.9162973004713,372.1839338632229,504.2434429002563,348.5118271685891,5
motivate-get,breakwater,22000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,6300.357542025491,3028.3571905218864,665.1591190699997,329.87526228750016,39.9969445,3197.9099823417646,1417.4144005855082,352.04584976536864,158.09322979135743,11.234718797089844,5
motivate-get,breakwater,22000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,2471.8496416564153,2092.0243397490317,487.3415943949987,149.07916705,66.833238,3488.2822399515367,2958.5691940877,334.2645563949987,1.7856345499999975,48.095082,5
motivate-get,breakwater,24000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,7854.760104263122,3616.379312363607,1279.807933095003,411.67409646249945,43.57088375,956.0455623278311,301.21517794677385,429.25602198148545,105.10593896143682,6.208874760948327,5
motivate-get,breakwater,24000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,8035.006038936848,4157.91201764742,985.8769726449996,509.4650546999982,39.38769225,2914.425174883714,1764.0876341550895,14.207585444999353,20.434804700001038,3.423446249999998,5
motivate-get,breakwater,26000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,7222.767747652608,3064.6592698582663,646.1846329633331,292.48689809999996,47.701429499999996,504.5284702638632,323.2863685444795,306.45456744939884,136.17833002505853,6.993443124134218,5
motivate-get,breakwater,26000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8228921930051565,True,400,100us,17us,20,0.001,True,step,1000us,1183,8.377796521051744,0.05,breakwater,10ms,0.01,False,15185us,29720us,0.0,0.0,,,,0.0,0.0,,,,5
