"flat","flat%","sum%","cum","cum%","function"
0.05,0.16,0.16,15.14,49.93,"main.(*greetingServiceServer).callGrpcService.func1"
0.01,0.033,0.2,13.2,43.54,"github.com/Jiali-Xing/protobuf.(*greetingServiceClient).Greeting"
0.02,0.066,0.26,13.12,43.27,"google.golang.org/grpc.(*ClientConn).Invoke"
0.02,0.066,0.33,13.07,43.11,"github.com/tgiannoukos/charon.(*PriceTable).UnaryInterceptorClient"
1.37,4.52,4.85,10.03,33.08,"runtime.mallocgc"
0.05,0.16,5.01,9.49,31.3,"runtime.systemstack"
0.01,0.033,5.05,6.15,20.28,"google.golang.org/grpc.invoke"
0.25,0.82,5.87,6.1,20.12,"google.golang.org/grpc/metadata.FromIncomingContext"
0.14,0.46,6.33,6.05,19.95,"github.com/tgiannoukos/charon.(*PriceTable).logger"
0.14,0.46,6.79,5.01,16.52,"runtime.newobject"
0,0,6.79,5,16.49,"github.com/tgiannoukos/charon.(*PriceTable).UpdateDownstreamPrice"
0.02,0.066,6.86,4.72,15.57,"google.golang.org/grpc/internal/transport.(*loopyWriter).run"
0.03,0.099,6.96,4.59,15.14,"google.golang.org/grpc.(*clientStream).withRetry"
0,0,6.96,4.52,14.91,"google.golang.org/grpc/internal/transport.newHTTP2Client.func6"
0.05,0.16,7.12,4.27,14.08,"github.com/tgiannoukos/charon.(*PriceTable).SaveDSPrice"
