time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
1,50,50,0,700.000025,50.0,,,,,,,,,,,
2,101,100,0,50.000001,50.0,1.2665986885984638e-07,247.07176208496094,-6.928606414794922,680000,0.16090375185012817,0.0,71740.18046875,5e-05,0.3,35831.6796875,0.0
3,152,150,0,0.0,50.0,-3.94463547923607e-06,247.08213806152344,-6.9286340236663815,680010,0.051800429821014404,0.0,66853.5453125,5e-05,0.3,33411.3125,0.0
4,203,200,0,0.0,50.0,2.0949840484618676e-06,247.09014892578125,-6.92867636680603,680020,0.28862446546554565,0.0,47432.266796875,5e-05,0.3,23684.775390625,0.0
5,254,250,0,45.4000002,50.0,-5.362987582646639e-06,247.0801239013672,-6.92868185043335,680030,0.32246774435043335,0.0,46795.451953125,5e-05,0.3,23391.361328125,0.0
6,305,300,0,0.0,50.0,-8.298814323026705e-06,247.11135864257812,-6.928682851791382,680040,0.34219062328338623,0.0,35692.999609375,5e-05,0.3,17844.53515625,1.1920929e-08
7,356,350,0,0.0,50.0,7.689893228501888e-06,247.16485595703125,-6.9288787841796875,680050,-1.1920928955078125e-07,0.0,2411.6308837890624,5e-05,0.3,1204.2633056640625,2.1457673e-08
8,406,400,0,0.0,50.0,2.5740861900658273e-06,247.22238159179688,-6.929094934463501,680060,0.0,0.0,1242.669775390625,5e-05,0.3,619.5565795898438,1.66893e-08
9,457,450,0,0.0,50.0,-1.6197443121512832e-05,247.31080627441406,-6.9293749809265135,680070,0.0,0.0,1241.5253051757813,5e-05,0.3,618.8989868164062,1.680851e-07
10,508,500,0,0.0,50.0,-3.123003248397538e-05,247.42994689941406,-6.929793214797973,680080,-1.1920928955078125e-07,0.0,1240.2990844726562,5e-05,0.3,618.256591796875,1.7404557e-07
